conList,UWSConsumerSubjectInfoGetGetConListOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetConListOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow,0,unbounded
conCommon,UWSConsumerSubjectInfoGetGetConCommonOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetConCommonOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow,0,unbounded
name,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/name,0,1
idCon,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/idCon,0,1
idConType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/idConType,0,1
conTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/conTypeCode,0,1
idCifEqConType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/idCifEqConType,0,1
cifEqConTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqConTypeCode,0,1
idCifEqConSt,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/idCifEqConSt,0,1
cifEqConStCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqConStCode,0,1
idCifEqAddABS,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/idCifEqAddABS,0,1
cifEqAddABSCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqAddABSCode,0,1
cifEqABSGrade,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqABSGrade,0,1
cifEqLifeCycleSt,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqLifeCycleSt,0,1
isInCifEq,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/isInCifEq,0,1
cifEqEditDate,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/conCommon/resultSetRow/cifEqEditDate,0,1
email,UWSConsumerSubjectInfoGetGetEmailOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetEmailOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow,0,unbounded
email,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow/email,0,1
isActual,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow/isActual,0,1
idEmail,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow/idEmail,0,1
idEmailType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow/idEmailType,0,1
emailTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/email/resultSetRow/emailTypeCode,0,1
addr,UWSConsumerSubjectInfoGetGetAddrOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetAddrOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow,0,unbounded
addr,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/addr,0,1
isGoldRecord,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/isGoldRecord,0,1
fIAS,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/fIAS,0,1
kLADR,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/kLADR,0,1
regDate,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/regDate,0,1
idAddr,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/idAddr,0,1
idAddrType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/idAddrType,0,1
addrTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/addrTypeCode,0,1
postCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/postCode,0,1
district,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/district,0,1
city,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/city,0,1
inhLoc,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/conList/resultSetRow/addr/resultSetRow/inhLoc,0,1
